CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
39186;Drogaria Souza a Souza - BASE4;54.749.495/0001-85;1149927045 / 11;Santo André;Est do Pedroso 5130;Vila Luzita;09132-180;3547809;SP;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS REPLICADOR: 5,HOSTRIBUTARIO: 5,INTEGRAÇÃO IFOOD: 5,HOSCHAT: 5
39187;BigPharma - PAULO;39.917.510/0002-44;82996714324 / 82;Palmeira dos Índios;Rua Antonio Matias 33;Centro;57600-350;2706307;AL;Sim;CLIENTE;1.0;MERCHFARMA: 4,HOS P344: 4,HOS REPLICADOR: 4,HOSTRIBUTARIO: 4
39189;Drogaria Kokoto Manoel - Melhor Compra -  EVERTON;25.383.248/0001-00;32988715189 / 32;Juiz de Fora;Rua Floriano Peixoto 571;Centro;36015-440;3136702;MG;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3
39192;Drogaria Viana - PAULO;57.980.913/0001-39;99991197219 / 99;Dom Pedro;Av Gonçalves Dias 233;Centro;65765-000;2103802;MA;Sim;CLIENTE;1.0;MERCHFARMA: 2,HOS P344: 5
39193;Health Importer ;55.015.299/0001-40;47997128383 / 47;Itajaí;Rua João Thomaz Pinto 1570;Canhanduba;88313-045;4208203;SC;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3,HOSTRIBUTARIO: 3
39194;Farma Digital Store;55.885.998/0001-40;2835224869 / 28;Cachoeiro de Itapemirim;Av Pinheiro Junior 207;Independencia;29306-306;3201209;ES;Sim;CLIENTE;1.0;MERCHFARMA: 1,HOS P344: 1,HOS FINANÇAS: 1,HOS FISCAL: 1,HOS REPLICADOR: 1,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 1,HOS DIGITALIZE: 1,HOSCLOUD BACKUP: 1,APP E-COMMERCE: 1,INTEGRAÇÃO IFOOD: 1,HOSCHAT: 1,HOS ENTREGAS: 10,HOSDASHBOARD: 1,HOSGESTÃO PLUS: 1,CHAT + 1: 1,INTEGRAÇÃO BLING: 1,UNICO CONTATO: 1,CONCILIAÇÃO CARTÕES KAPTI (VTECH): 1,CONCILIAÇÃO DE CREDENCIADORAS - BOA VISTA-3500: 1
39195;Bifarma - Rede Soma - IMP;44.600.784/0001-64;1139777352 / 11;São Paulo;Av Raimundo Pereira de Magalhaes 5600;Pirituba;02938-000;3550308;SP;Sim;CLIENTE;1.0;MERCHFARMA: 6,HOS P344: 6,HOS REPLICADOR: 6,HOSTRIBUTARIO: 6,HOSCHAT: 6,HOSGESTÃO PLUS: 6
39197;Ultrafarma - Rede Soma - IMP;21.281.020/0001-58;1139932080 / 11;São Paulo;Rua Santa Clara de Assis 2;Sitio Morro Grande;02809-110;3550308;SP;Sim;CLIENTE;0.0;MERCHFARMA: 3,HOS P344: 3,HOS REPLICADOR: 3,HOSTRIBUTARIO: 3,HOSCHAT: 3,HOSGESTÃO PLUS: 3
39201;Kmty Drogarias ;58.086.763/0001-87;11976303429 / 11;São Paulo;Rua São Paulo 1;Resid. Sol Nascente;05280-110;3550308;SP;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOSTRIBUTARIO: 3,HOSCLOUD BACKUP: 0,COVISA: 3
39202;Farma Popular I9 Panorama - LOJA SOLUCOES - (Cobrança Matriz);42.266.982/0002-99;91974007214 / 91;Belém;Quadra 19 Cnj Panorama XXI Lj A;Mangueirão;66640-125;1501402;PA;Sim;CLIENTE;1.0;MERCHFARMA: 4,HOS P344: 4,HOS REPLICADOR: 1
